Nr czesci;Oddzial;Adres dostawy;Rok;sty;lut;mar;kwi;maj;cze;lip;sie;wrz;paz;lis;gru;Suma
15;OZG w Warszawie;05-090 Sękocin Nowy, 05-850 Mory, 05-091 Ząbki;2027;5800;4800;2400;2400;1600;;1200;;3600;2400;3600;4800;32600
15;OZG w Warszawie;05-090 Sękocin Nowy, 05-850 Mory, 05-091 Ząbki;2028;5800;4800;2400;2200;1200;;;;;;;;16400
15;OZG w Warszawie;05-300 Mińsk Mazowiecki;2026;;;;;;;500;500;500;500;500;500;3000
15;OZG w Warszawie;05-300 Mińsk Mazowiecki;2027;500;500;500;500;500;;500;500;500;500;500;600;5600
15;OZG w Warszawie;05-300 Mińsk Mazowiecki;2028;700;600;600;500;500;;;;;;;;2900
15;OZG w Warszawie;05-555 Kotorydz;2026;;;;;;;;500;;500;500;500;2000
15;OZG w Warszawie;05-555 Kotorydz;2027;500;500;500;;500;;500;;500;500;500;500;4500
15;OZG w Warszawie;05-555 Kotorydz;2028;500;500;500;;500;;;;;;;;2000
15;OZG w Warszawie;06-500 Mława, ul. Płocka 96;2026;;;;;;;;520;;520;;;1040
15;OZG w Warszawie;06-500 Mława, ul. Płocka 96;2027;520;;;520;;;520;;520;;520;;2600
15;OZG w Warszawie;06-500 Mława, ul. Płocka 96;2028;520;;;520;;520;;;;;;;1560
15;OZG w Warszawie;27-230 Lubienia;2026;;;;;;;200;;;;200;;400
15;OZG w Warszawie;27-230 Lubienia;2027;200;;200;;;200;;200;;;200;;1000
15;OZG w Warszawie;27-230 Lubienia;2028;200;;200;;;200;;;;;;;600
16;OZG we Wrocławiu;50-507 Wrocław, ul. Gazowa 3;2026;;;;;;;900;1000;1000;1500;2200;2200;8800
16;OZG we Wrocławiu;50-507 Wrocław, ul. Gazowa 3;2027;2600;2700;2000;1500;1200;1200;900;1000;1000;1500;2200;2200;20000
16;OZG we Wrocławiu;50-507 Wrocław, ul. Gazowa 3;2028;2600;2700;2000;1500;1200;1200;;;;;;;11200
16;OZG we Wrocławiu;58-309 Wałbrzych, ul. Wrocławska 2;2026;;;;;;;1000;;;1000;;;2000
16;OZG we Wrocławiu;58-309 Wałbrzych, ul. Wrocławska 2;2027;1000;1000;;1000;;1000;;;1000;;1000;;6000
16;OZG we Wrocławiu;58-309 Wałbrzych, ul. Wrocławska 2;2028;1000;;1000;;;1000;;;;;;;3000
16;OZG we Wrocławiu;59-900 Zgorzelec, ul. Fabryczna 1;2026;;;;;;;;;1000;;1000;1000;3000
16;OZG we Wrocławiu;59-900 Zgorzelec, ul. Fabryczna 1;2027;1000;;1000;;;1000;;;1000;;1000;1000;6000
16;OZG we Wrocławiu;59-900 Zgorzelec, ul. Fabryczna 1;2028;1000;;1000;;;1000;;;;;;;3000
17;OZG w Zabrzu;41-800 Zabrze, ul. Mikulczycka 5;2026;;;;;;;2300;2100;2300;4600;5300;7200;23800
17;OZG w Zabrzu;41-800 Zabrze, ul. Mikulczycka 5;2027;6400;7300;5800;4900;2900;2000;2300;2300;2800;4900;5500;7400;54500
17;OZG w Zabrzu;41-800 Zabrze, ul. Mikulczycka 5;2028;6600;7500;5800;5200;3000;2200;;;;;;;30300
